Grundbuchamt/ Ort ;Anlage;Kaufpreis;Seite;Verkäufer:;Grundbuchblatt;Bezirk ;Eigentümer ;Rechtsnachfolger ;Ifd. Nummer ;Gemarkung;Flur ;Flurstück;Katastergröße (m^2);ca. Verkaufsgröße (m^2);WE - Nr.;SU - Nr.;falls zutreffend: Anteil;Bodenrichtwert 2024 (€/m^2);unknown_value;Bodenrichtwert 2016 ;Amnmerkungen Bodenrichtwert 2016 ;Grundstückspreise auf basis Bodenrichtwerte 2016;Adressen;comment;Nutzung laut Thelen ;;;
Dortmund ;Anlage 1.1.1(a)(i);500.000,00;1;ThyssenKrupp AG;nicht genannt;Dortmund;nicht genannt;nicht genannt;nicht erkennbar;Dortmund;47;403;3.095;nicht genannt;93751;790;nicht zutreffend ;110;340.450,00;80;;247.600,00;GFMC+986 Dortmund;;Entwicklungsflächen Gewerbe ;;;
Dortmund ;Anlage 1.1.1(a)(i);500.000,00;1;ThyssenKrupp AG;nicht genannt;Dortmund;nicht genannt;nicht genannt;nicht erkennbar;Dortmund;47;405;5.793;nicht genannt;93751;790;nicht zutreffend ;110;637.230,00;80;;463.440,00;GFMC+9JP Dortmund;;Entwicklungsflächen Gewerbe;;;
Altena ;Anlage 1.1.1(a)(i);500.000,00;2;ThyssenKrupp AG;5921;Werdohl;ThyssenKrupp AG;ThyssenKrupp AG;3;Werdohl;11;277;446;nicht genannt;93912;1163;nicht zutreffend ;105;46.830,00;95;;42.370,00;Ginsterweg 4, 58791 Werdohl;;Erbbaurecht Wohnen und Gewerbe ;;;
Altena ;Anlage 1.1.1(a)(i);500.000,00;2;ThyssenKrupp AG;5921;Werdohl;ThyssenKrupp AG;ThyssenKrupp AG;4;Werdohl;11;276;417;nicht genannt;93912;1164;nicht zutreffend ;105;43.785,00;95;;39.615,00;Ginsterweg 6, 58791 Werdohl;;Erbbaurecht Wohnen und Gewerbe ;;;
Altena ;Anlage 1.1.1(a)(i);500.000,00;2;ThyssenKrupp AG;5921;Werdohl;ThyssenKrupp AG;ThyssenKrupp AG;5;Werdohl;11;275;437;nicht genannt;93912;1165;nicht zutreffend ;105;45.885,00;95;;41.515,00;Ginsterweg 8, 58791 Werdohl;;Erbbaurecht Wohnen und Gewerbe ;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;3;ThyssenKrupp AG;698;nicht erkennbar;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;17;23.11;931;nicht genannt;93771;797;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;3;ThyssenKrupp AG;942;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;10;1.2;699;nicht genannt;93786;829;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;3;ThyssenKrupp AG;942;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;10;7.9;7.848;4.524;93786;827;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;3;ThyssenKrupp AG;942;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;10;7.9;7.848;3.324;93786;829;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;3;ThyssenKrupp AG;942;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;11;11/34;1.615;nicht genannt;93786;828;nicht zutreffend ;;0,00;;;0,00;;;;;;
